epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.485,3.07575,3.54496,1.89252,0.22871,0.06643,0.04995,0.01335,2.95562,4.98041,1.9325,0.0700427,0.00332859,0.00332859
2,331.891,2.84411,3.01248,1.74929,0.21549,0.21329,0.12126,0.02986,2.84796,2.97922,1.90876,0.0399328,0.006552,0.006552
3,485.056,2.74348,2.799,1.7056,0.14615,0.14816,0.07033,0.02108,2.77279,3.12065,1.84417,0.00971283,0.00966541,0.00966541
4,636.895,2.66448,2.63242,1.65171,0.22911,0.22028,0.13433,0.04167,2.68467,2.67564,1.81094,0.009505,0.009505,0.009505
5,788.694,2.60103,2.53372,1.62561,0.30943,0.27006,0.20801,0.06418,2.82329,2.45489,1.86801,0.00934,0.00934,0.00934
6,940.334,2.54537,2.38943,1.59499,0.33288,0.32474,0.24748,0.08617,2.4451,2.3401,1.66095,0.009175,0.009175,0.009175
7,1092.87,2.48489,2.27455,1.5661,0.43431,0.33421,0.33092,0.1075,2.54238,2.24182,1.74597,0.00901,0.00901,0.00901
8,1245.33,2.47034,2.22597,1.55707,0.41083,0.31993,0.29139,0.09063,2.56759,2.23552,1.73233,0.008845,0.008845,0.008845
9,1397.48,2.43811,2.19294,1.54063,0.37008,0.29196,0.24264,0.07999,2.52652,2.56933,1.71124,0.00868,0.00868,0.00868
10,1549.77,2.4185,2.12355,1.52867,0.47252,0.42715,0.40865,0.1432,2.36207,1.95048,1.62927,0.008515,0.008515,0.008515
11,1703.73,2.38182,2.0493,1.507,0.47364,0.35577,0.33679,0.10953,2.46649,2.28243,1.70831,0.00835,0.00835,0.00835
12,1856.17,2.36531,1.98911,1.49758,0.48153,0.37832,0.3886,0.12436,2.46384,2.10832,1.70186,0.008185,0.008185,0.008185
13,2007.91,2.34526,1.94418,1.48994,0.43708,0.29764,0.31021,0.11421,2.48548,2.5896,1.69806,0.00802,0.00802,0.00802
14,2160.73,2.32153,1.89733,1.48193,0.53863,0.41827,0.41997,0.13147,2.47841,1.98281,1.70504,0.007855,0.007855,0.007855
15,2313.31,2.30975,1.87964,1.47449,0.63881,0.43925,0.49271,0.17229,2.43515,1.82089,1.64826,0.00769,0.00769,0.00769
16,2465.53,2.29819,1.83231,1.46559,0.58274,0.42362,0.4628,0.16482,2.39139,1.86896,1.65601,0.007525,0.007525,0.007525
17,2617.99,2.29637,1.81293,1.46325,0.66486,0.5035,0.56383,0.20063,2.32023,1.72194,1.62353,0.00736,0.00736,0.00736
18,2770.04,2.27788,1.76127,1.45443,0.62998,0.49476,0.5438,0.20163,2.32757,1.76817,1.6142,0.007195,0.007195,0.007195
19,2922.04,2.24115,1.73194,1.44048,0.68283,0.52972,0.58887,0.21886,2.25522,1.63003,1.57783,0.00703,0.00703,0.00703
20,3073.98,2.23478,1.71009,1.43568,0.70845,0.52666,0.59608,0.21821,2.26528,1.64554,1.57501,0.006865,0.006865,0.006865
21,3225.59,2.22346,1.66726,1.42502,0.66996,0.50748,0.57099,0.22151,2.2737,1.75483,1.57845,0.0067,0.0067,0.0067
22,3377.45,2.21053,1.64465,1.41445,0.74287,0.55769,0.63519,0.24339,2.19627,1.57337,1.54822,0.006535,0.006535,0.006535
